//EOS file using Gadget forsterite EOS. c=constant entropy, v=constant entropy and vapor dome 
 //Made using GADGET_EOS_forsterite.txt and ANEOS_Dunite_VapDome.txt
//Next line defines the read data type (0=standard linear, 1=standard log, 2=Hubbard) 
# 1 
Density (kg/m^3)	Pressure (Pa)	Temperature (K)	Entropy (J/kg)	
1.000000E-03	1.604881E+02	2.432767E+03	5.000000E+03
1.017437E-03	1.634518E+02	2.434703E+03	5.000000E+03
1.035178E-03	1.664702E+02	2.436641E+03	5.000000E+03
1.053228E-03	1.695443E+02	2.438580E+03	5.000000E+03
1.071593E-03	1.726752E+02	2.440521E+03	5.000000E+03
1.090279E-03	1.758639E+02	2.442463E+03	5.000000E+03
1.109290E-03	1.791115E+02	2.444407E+03	5.000000E+03
1.128633E-03	1.824191E+02	2.446353E+03	5.000000E+03
1.148312E-03	1.857877E+02	2.448300E+03	5.000000E+03
1.168335E-03	1.892186E+02	2.450248E+03	5.000000E+03
1.188708E-03	1.927128E+02	2.452198E+03	5.000000E+03
1.209435E-03	1.962716E+02	2.454150E+03	5.000000E+03
1.230524E-03	1.998960E+02	2.456103E+03	5.000000E+03
1.251981E-03	2.035874E+02	2.458058E+03	5.000000E+03
1.273811E-03	2.073470E+02	2.460015E+03	5.000000E+03
1.296023E-03	2.111759E+02	2.461972E+03	5.000000E+03
1.318621E-03	2.150756E+02	2.463932E+03	5.000000E+03
1.341614E-03	2.190473E+02	2.465893E+03	5.000000E+03
1.365008E-03	2.230924E+02	2.467856E+03	5.000000E+03
1.388809E-03	2.272121E+02	2.469820E+03	5.000000E+03
1.413026E-03	2.314080E+02	2.471785E+03	5.000000E+03
1.437665E-03	2.356813E+02	2.473753E+03	5.000000E+03
1.462733E-03	2.400335E+02	2.475722E+03	5.000000E+03
1.488239E-03	2.444661E+02	2.477692E+03	5.000000E+03
1.514189E-03	2.489805E+02	2.479664E+03	5.000000E+03
1.540592E-03	2.535783E+02	2.481638E+03	5.000000E+03
1.567455E-03	2.582610E+02	2.483613E+03	5.000000E+03
1.594787E-03	2.630314E+02	2.485603E+03	5.000000E+03
1.622595E-03	2.678918E+02	2.487620E+03	5.000000E+03
1.650888E-03	2.728421E+02	2.489638E+03	5.000000E+03
1.679675E-03	2.778838E+02	2.491658E+03	5.000000E+03
1.708963E-03	2.830187E+02	2.493680E+03	5.000000E+03
1.738762E-03	2.882485E+02	2.495704E+03	5.000000E+03
1.769081E-03	2.935749E+02	2.497729E+03	5.000000E+03
1.799929E-03	2.989997E+02	2.499755E+03	5.000000E+03
1.831314E-03	3.045248E+02	2.501783E+03	5.000000E+03
1.863246E-03	3.101520E+02	2.503813E+03	5.000000E+03
1.895736E-03	3.158832E+02	2.505845E+03	5.000000E+03
1.928792E-03	3.217203E+02	2.507878E+03	5.000000E+03
1.962424E-03	3.276652E+02	2.509913E+03	5.000000E+03
1.996642E-03	3.337200E+02	2.511949E+03	5.000000E+03
2.031458E-03	3.398866E+02	2.513988E+03	5.000000E+03
2.066880E-03	3.461673E+02	2.516027E+03	5.000000E+03
2.102920E-03	3.525639E+02	2.518069E+03	5.000000E+03
2.139589E-03	3.590788E+02	2.520112E+03	5.000000E+03
2.176897E-03	3.657141E+02	2.522157E+03	5.000000E+03
2.214855E-03	3.724720E+02	2.524203E+03	5.000000E+03
2.253476E-03	3.793547E+02	2.526251E+03	5.000000E+03
2.292769E-03	3.863646E+02	2.528301E+03	5.000000E+03
2.332748E-03	3.935041E+02	2.530353E+03	5.000000E+03
2.373424E-03	4.007755E+02	2.532406E+03	5.000000E+03
2.414810E-03	4.081813E+02	2.534460E+03	5.000000E+03
2.456916E-03	4.157239E+02	2.536517E+03	5.000000E+03
2.499758E-03	4.234059E+02	2.538575E+03	5.000000E+03
2.543346E-03	4.312259E+02	2.540671E+03	5.000000E+03
2.587694E-03	4.391887E+02	2.542784E+03	5.000000E+03
2.632815E-03	4.472986E+02	2.544898E+03	5.000000E+03
2.678724E-03	4.555583E+02	2.547014E+03	5.000000E+03
2.725433E-03	4.639705E+02	2.549131E+03	5.000000E+03
2.772956E-03	4.725380E+02	2.551251E+03	5.000000E+03
2.821308E-03	4.812637E+02	2.553372E+03	5.000000E+03
2.870503E-03	4.901505E+02	2.555495E+03	5.000000E+03
2.920556E-03	4.992015E+02	2.557619E+03	5.000000E+03
2.971481E-03	5.084195E+02	2.559746E+03	5.000000E+03
3.023295E-03	5.178078E+02	2.561874E+03	5.000000E+03
3.076012E-03	5.273695E+02	2.564004E+03	5.000000E+03
3.129648E-03	5.371077E+02	2.566136E+03	5.000000E+03
3.184220E-03	5.470257E+02	2.568269E+03	5.000000E+03
3.239743E-03	5.571269E+02	2.570405E+03	5.000000E+03
3.296234E-03	5.674146E+02	2.572542E+03	5.000000E+03
3.353710E-03	5.778923E+02	2.574681E+03	5.000000E+03
3.412189E-03	5.885635E+02	2.576821E+03	5.000000E+03
3.471687E-03	5.994317E+02	2.578964E+03	5.000000E+03
3.532222E-03	6.105006E+02	2.581108E+03	5.000000E+03
3.593814E-03	6.217738E+02	2.583254E+03	5.000000E+03
3.656479E-03	6.332553E+02	2.585402E+03	5.000000E+03
3.720237E-03	6.449488E+02	2.587551E+03	5.000000E+03
3.785106E-03	6.568581E+02	2.589703E+03	5.000000E+03
3.851107E-03	6.689875E+02	2.591856E+03	5.000000E+03
3.918259E-03	6.813407E+02	2.594011E+03	5.000000E+03
3.986581E-03	6.939242E+02	2.596171E+03	5.000000E+03
4.056095E-03	7.067638E+02	2.598370E+03	5.000000E+03
4.126821E-03	7.198410E+02	2.600572E+03	5.000000E+03
4.198780E-03	7.331602E+02	2.602775E+03	5.000000E+03
4.271994E-03	7.467258E+02	2.604980E+03	5.000000E+03
4.346485E-03	7.605424E+02	2.607187E+03	5.000000E+03
4.422274E-03	7.746146E+02	2.609396E+03	5.000000E+03
4.499385E-03	7.889473E+02	2.611607E+03	5.000000E+03
4.577841E-03	8.035451E+02	2.613820E+03	5.000000E+03
4.657664E-03	8.184131E+02	2.616034E+03	5.000000E+03
4.738880E-03	8.335561E+02	2.618250E+03	5.000000E+03
4.821511E-03	8.489793E+02	2.620469E+03	5.000000E+03
4.905584E-03	8.646879E+02	2.622689E+03	5.000000E+03
4.991122E-03	8.806872E+02	2.624911E+03	5.000000E+03
5.078152E-03	8.969825E+02	2.627135E+03	5.000000E+03
5.166700E-03	9.135793E+02	2.629361E+03	5.000000E+03
5.256791E-03	9.304832E+02	2.631588E+03	5.000000E+03
5.348454E-03	9.476998E+02	2.633818E+03	5.000000E+03
5.441714E-03	9.652351E+02	2.636049E+03	5.000000E+03
5.536601E-03	9.830947E+02	2.638283E+03	5.000000E+03
5.633143E-03	1.001285E+03	2.640518E+03	5.000000E+03
5.731368E-03	1.019812E+03	2.642755E+03	5.000000E+03
5.831305E-03	1.038681E+03	2.644994E+03	5.000000E+03
5.932985E-03	1.057900E+03	2.647235E+03	5.000000E+03
6.036439E-03	1.077474E+03	2.649478E+03	5.000000E+03
6.141696E-03	1.097410E+03	2.651723E+03	5.000000E+03
6.248788E-03	1.117716E+03	2.653970E+03	5.000000E+03
6.357748E-03	1.138405E+03	2.656262E+03	5.000000E+03
6.468608E-03	1.159486E+03	2.658613E+03	5.000000E+03
6.581400E-03	1.180959E+03	2.660965E+03	5.000000E+03
6.696160E-03	1.202829E+03	2.663320E+03	5.000000E+03
6.812921E-03	1.225104E+03	2.665677E+03	5.000000E+03
6.931717E-03	1.247791E+03	2.668036E+03	5.000000E+03
7.052585E-03	1.270899E+03	2.670397E+03	5.000000E+03
7.175561E-03	1.294435E+03	2.672760E+03	5.000000E+03
7.300681E-03	1.318406E+03	2.675125E+03	5.000000E+03
7.427982E-03	1.342821E+03	2.677492E+03	5.000000E+03
7.557504E-03	1.367689E+03	2.679862E+03	5.000000E+03
7.689284E-03	1.393017E+03	2.682233E+03	5.000000E+03
7.823361E-03	1.418814E+03	2.684607E+03	5.000000E+03
7.959777E-03	1.445089E+03	2.686982E+03	5.000000E+03
8.098571E-03	1.471850E+03	2.689360E+03	5.000000E+03
8.239786E-03	1.499107E+03	2.691740E+03	5.000000E+03
8.383462E-03	1.526869E+03	2.694122E+03	5.000000E+03
8.529644E-03	1.555145E+03	2.696506E+03	5.000000E+03
8.678376E-03	1.583944E+03	2.698892E+03	5.000000E+03
8.829700E-03	1.613277E+03	2.701280E+03	5.000000E+03
8.983663E-03	1.643153E+03	2.703671E+03	5.000000E+03
9.140311E-03	1.673582E+03	2.706063E+03	5.000000E+03
9.299690E-03	1.704575E+03	2.708458E+03	5.000000E+03
9.461848E-03	1.736142E+03	2.710855E+03	5.000000E+03
9.626834E-03	1.768293E+03	2.713254E+03	5.000000E+03
9.794697E-03	1.801040E+03	2.715655E+03	5.000000E+03
9.965486E-03	1.834393E+03	2.718058E+03	5.000000E+03
1.013925E-02	1.868380E+03	2.720462E+03	5.000000E+03
1.031605E-02	1.903000E+03	2.722868E+03	5.000000E+03
