//EOS file using Gadget forsterite EOS. c=constant entropy, v=constant entropy and vapor dome 
 //Made using GADGET_Fe_EOS.txt and ANEOS_Dunite_VapDome.txt
//Next line defines the read data type (0=standard linear, 1=standard log, 2=Hubbard) 
# 0 
Density (kg/m^3)	Pressure (Pa)	Temperature (K)	Entropy (J/kg)	
1.000000E+00	2.094475E+01	2.027672E+03	1.500000E+03
1.010426E+00	2.094503E+01	2.027673E+03	1.500000E+03
1.020961E+00	2.094532E+01	2.027673E+03	1.500000E+03
1.031605E+00	2.094561E+01	2.027674E+03	1.500000E+03
1.042361E+00	2.094590E+01	2.027675E+03	1.500000E+03
1.053228E+00	2.094620E+01	2.027676E+03	1.500000E+03
1.064209E+00	2.094650E+01	2.027677E+03	1.500000E+03
1.075305E+00	2.094680E+01	2.027678E+03	1.500000E+03
1.086516E+00	2.094710E+01	2.027679E+03	1.500000E+03
1.097844E+00	2.094741E+01	2.027680E+03	1.500000E+03
1.109290E+00	2.094772E+01	2.027681E+03	1.500000E+03
1.120855E+00	2.094804E+01	2.027682E+03	1.500000E+03
1.132541E+00	2.094836E+01	2.027684E+03	1.500000E+03
1.144349E+00	2.094868E+01	2.027685E+03	1.500000E+03
1.156280E+00	2.094900E+01	2.027686E+03	1.500000E+03
1.168335E+00	2.094933E+01	2.027687E+03	1.500000E+03
1.180517E+00	2.094966E+01	2.027688E+03	1.500000E+03
1.192825E+00	2.095000E+01	2.027689E+03	1.500000E+03
1.205261E+00	2.095034E+01	2.027690E+03	1.500000E+03
1.217827E+00	2.095068E+01	2.027691E+03	1.500000E+03
1.230524E+00	2.095102E+01	2.027692E+03	1.500000E+03
1.243353E+00	2.095137E+01	2.027693E+03	1.500000E+03
1.256317E+00	2.095173E+01	2.027695E+03	1.500000E+03
1.269415E+00	2.095208E+01	2.027696E+03	1.500000E+03
1.282650E+00	2.095244E+01	2.027697E+03	1.500000E+03
1.296023E+00	2.095281E+01	2.027698E+03	1.500000E+03
1.309535E+00	2.095318E+01	2.027699E+03	1.500000E+03
1.323188E+00	2.095355E+01	2.027701E+03	1.500000E+03
1.336984E+00	2.095392E+01	2.027702E+03	1.500000E+03
1.350923E+00	2.095430E+01	2.027703E+03	1.500000E+03
1.365008E+00	2.095469E+01	2.027704E+03	1.500000E+03
1.379239E+00	2.095507E+01	2.027706E+03	1.500000E+03
1.393619E+00	2.095547E+01	2.027707E+03	1.500000E+03
1.408149E+00	2.095586E+01	2.027708E+03	1.500000E+03
1.422830E+00	2.095626E+01	2.027710E+03	1.500000E+03
1.437665E+00	2.095667E+01	2.027711E+03	1.500000E+03
1.452654E+00	2.095707E+01	2.027712E+03	1.500000E+03
1.467799E+00	2.095749E+01	2.027714E+03	1.500000E+03
1.483103E+00	2.095790E+01	2.027715E+03	1.500000E+03
1.498565E+00	2.095832E+01	2.027716E+03	1.500000E+03
1.514189E+00	2.095875E+01	2.027718E+03	1.500000E+03
1.529976E+00	2.095918E+01	2.027719E+03	1.500000E+03
1.545928E+00	2.095961E+01	2.027721E+03	1.500000E+03
1.562046E+00	2.096005E+01	2.027722E+03	1.500000E+03
1.578331E+00	2.096050E+01	2.027724E+03	1.500000E+03
1.594787E+00	2.096094E+01	2.027725E+03	1.500000E+03
1.611414E+00	2.096140E+01	2.027727E+03	1.500000E+03
1.628215E+00	2.096185E+01	2.027728E+03	1.500000E+03
1.645191E+00	2.096232E+01	2.027730E+03	1.500000E+03
1.662343E+00	2.096278E+01	2.027731E+03	1.500000E+03
1.679675E+00	2.096326E+01	2.027733E+03	1.500000E+03
1.697187E+00	2.096373E+01	2.027734E+03	1.500000E+03
1.714882E+00	2.096421E+01	2.027736E+03	1.500000E+03
1.732761E+00	2.096470E+01	2.027737E+03	1.500000E+03
1.750827E+00	2.096519E+01	2.027739E+03	1.500000E+03
1.769081E+00	2.096569E+01	2.027741E+03	1.500000E+03
