//EOS file using Gadget EOS. c=constant entropy, v=constant entropy and vapor dome 
 //Made using GADGET_EOS_forsterite.txt and ANEOS_Dunite_VapDome.txt
//Next line defines the read data type (0=standard linear, 1=standard log, 2=Hubbard) 
# 1 
Density (kg/m^3)	Pressure (Pa)	Temperature (K)	Entropy (J/kg)	
1.000000E-09	1.000000E-01	1.417330E+03	3.200000E+03
1.031605E-09	1.000000E-01	1.418870E+03	3.200000E+03
1.064209E-09	1.000000E-01	1.420411E+03	3.200000E+03
1.097844E-09	1.000000E-01	1.421953E+03	3.200000E+03
1.132541E-09	1.000000E-01	1.423498E+03	3.200000E+03
1.168335E-09	1.000000E-01	1.425044E+03	3.200000E+03
1.205261E-09	1.000000E-01	1.426591E+03	3.200000E+03
1.243353E-09	1.000000E-01	1.428141E+03	3.200000E+03
1.282650E-09	1.000000E-01	1.429692E+03	3.200000E+03
1.323188E-09	1.000000E-01	1.431245E+03	3.200000E+03
1.365008E-09	1.000000E-01	1.432799E+03	3.200000E+03
1.408149E-09	1.000000E-01	1.434355E+03	3.200000E+03
1.452654E-09	1.000000E-01	1.435913E+03	3.200000E+03
1.498565E-09	1.000000E-01	1.437473E+03	3.200000E+03
1.545928E-09	1.000000E-01	1.439034E+03	3.200000E+03
1.594787E-09	1.000000E-01	1.440495E+03	3.200000E+03
1.645191E-09	1.000000E-01	1.441552E+03	3.200000E+03
1.697187E-09	1.000000E-01	1.442610E+03	3.200000E+03
1.750827E-09	1.000000E-01	1.443669E+03	3.200000E+03
1.806162E-09	1.000000E-01	1.444728E+03	3.200000E+03
1.863246E-09	1.000000E-01	1.445788E+03	3.200000E+03
1.922135E-09	1.000000E-01	1.446849E+03	3.200000E+03
1.982884E-09	1.000000E-01	1.447911E+03	3.200000E+03
2.045553E-09	1.000000E-01	1.448973E+03	3.200000E+03
2.110203E-09	1.000000E-01	1.450036E+03	3.200000E+03
2.176897E-09	1.000000E-01	1.451100E+03	3.200000E+03
2.245698E-09	1.000000E-01	1.452165E+03	3.200000E+03
2.316674E-09	1.000000E-01	1.453231E+03	3.200000E+03
2.389893E-09	1.000000E-01	1.454297E+03	3.200000E+03
2.465426E-09	1.000000E-01	1.455364E+03	3.200000E+03
2.543346E-09	1.000000E-01	1.456349E+03	3.200000E+03
2.623729E-09	1.000000E-01	1.457209E+03	3.200000E+03
2.706652E-09	1.000000E-01	1.458069E+03	3.200000E+03
2.792196E-09	1.000000E-01	1.458930E+03	3.200000E+03
2.880444E-09	1.000000E-01	1.459792E+03	3.200000E+03
2.971481E-09	1.000000E-01	1.460654E+03	3.200000E+03
3.065395E-09	1.000000E-01	1.461517E+03	3.200000E+03
3.162278E-09	1.000000E-01	1.462380E+03	3.200000E+03
3.262222E-09	1.000000E-01	1.463243E+03	3.200000E+03
3.365325E-09	1.000000E-01	1.464108E+03	3.200000E+03
3.471687E-09	1.000000E-01	1.464972E+03	3.200000E+03
3.581410E-09	1.000000E-01	1.465837E+03	3.200000E+03
3.694601E-09	1.000000E-01	1.466703E+03	3.200000E+03
3.811370E-09	1.000000E-01	1.467569E+03	3.200000E+03
3.931829E-09	1.000000E-01	1.468436E+03	3.200000E+03
4.056095E-09	1.000000E-01	1.469537E+03	3.200000E+03
4.184289E-09	1.000000E-01	1.470796E+03	3.200000E+03
4.316534E-09	1.000000E-01	1.472056E+03	3.200000E+03
4.452959E-09	1.000000E-01	1.473316E+03	3.200000E+03
4.593695E-09	1.000000E-01	1.474578E+03	3.200000E+03
4.738880E-09	1.000000E-01	1.475841E+03	3.200000E+03
4.888653E-09	1.000000E-01	1.477105E+03	3.200000E+03
5.043159E-09	1.000000E-01	1.478370E+03	3.200000E+03
5.202549E-09	1.000000E-01	1.479637E+03	3.200000E+03
5.366977E-09	1.000000E-01	1.480904E+03	3.200000E+03
5.536601E-09	1.000000E-01	1.482172E+03	3.200000E+03
5.711586E-09	1.000000E-01	1.483442E+03	3.200000E+03
5.892102E-09	1.000000E-01	1.484712E+03	3.200000E+03
6.078323E-09	1.000000E-01	1.485984E+03	3.200000E+03
6.270430E-09	1.000000E-01	1.487257E+03	3.200000E+03
6.468608E-09	1.000000E-01	1.488620E+03	3.200000E+03
6.673049E-09	1.000000E-01	1.490006E+03	3.200000E+03
6.883952E-09	1.000000E-01	1.491393E+03	3.200000E+03
7.101521E-09	1.000000E-01	1.492782E+03	3.200000E+03
7.325965E-09	1.000000E-01	1.494172E+03	3.200000E+03
7.557504E-09	1.000000E-01	1.495564E+03	3.200000E+03
7.796360E-09	1.000000E-01	1.496956E+03	3.200000E+03
8.042765E-09	1.000000E-01	1.498350E+03	3.200000E+03
8.296959E-09	1.000000E-01	1.499745E+03	3.200000E+03
8.559185E-09	1.000000E-01	1.501142E+03	3.200000E+03
