//EOS file using Gadget EOS. c=constant entropy, v=constant entropy and vapor dome 
 //Made using GADGET_EOS_forsterite.txt and ANEOS_Dunite_VapDome.txt
//Next line defines the read data type (0=standard linear, 1=standard log, 2=Hubbard) 
# 1 
Density (kg/m^3)	Pressure (Pa)	Temperature (K)	Entropy (J/kg)	
4.523280E-113	2.030470E-108	2.171060E+02	5.859660E+04
7.198440E-83	4.308450E-78	2.894740E+02	4.436720E+04
8.361060E-65	6.255380E-60	3.618430E+02	3.588530E+04
8.534010E-53	7.661730E-48	4.342120E+02	3.026820E+04
5.505480E-42	1.150140E-36	5.065800E+02	4.707170E+04
4.555720E-36	1.081750E-30	5.789490E+02	4.133880E+04
1.818180E-31	4.806010E-26	6.513170E+02	3.673340E+04
8.751450E-28	2.528070E-22	7.236860E+02	3.289210E+04
9.091020E-25	2.824570E-19	7.960550E+02	2.961570E+04
2.998490E-22	9.889670E-17	8.684230E+02	2.679590E+04
4.095060E-20	1.419350E-14	9.407920E+02	2.436780E+04
2.795740E-18	1.010860E-12	1.013160E+03	2.228330E+04
1.094680E-16	4.108230E-11	1.085530E+03	2.049970E+04
2.724280E-15	1.057720E-09	1.157900E+03	1.897580E+04
4.661340E-14	1.868450E-08	1.230270E+03	1.767320E+04
5.829660E-13	2.409480E-07	1.302630E+03	1.655710E+04
5.593770E-12	2.382150E-06	1.375000E+03	1.559700E+04
4.281680E-11	1.877840E-05	1.447370E+03	1.476700E+04
2.698540E-10	1.218480E-04	1.519740E+03	1.404560E+04
1.437350E-09	6.680100E-04	1.592110E+03	1.341500E+04
6.611500E-09	3.161910E-03	1.664480E+03	1.286050E+04
2.674210E-08	1.315730E-02	1.736850E+03	1.237020E+04
9.657700E-08	4.887020E-02	1.809210E+03	1.193430E+04
3.154710E-07	1.641340E-01	1.881580E+03	1.154470E+04
9.424480E-07	5.039900E-01	1.953950E+03	1.119490E+04
2.599540E-06	1.428340E+00	2.026320E+03	1.087940E+04
6.674920E-06	3.766940E+00	2.098690E+03	1.059350E+04
1.606960E-05	9.310770E+00	2.171060E+03	1.033360E+04
3.022690E-05	1.786470E+01	2.226360E+03	1.015040E+04
5.509270E-05	3.320580E+01	2.281660E+03	9.979150E+03
9.751690E-05	5.992570E+01	2.336960E+03	9.818870E+03
1.679710E-04	1.052140E+02	2.392260E+03	9.668540E+03
2.820720E-04	1.800530E+02	2.447550E+03	9.527300E+03
4.625820E-04	3.008340E+02	2.502850E+03	9.394410E+03
7.419790E-04	4.914960E+02	2.558150E+03	9.269170E+03
1.167100E-03	7.868250E+02	2.613450E+03	9.150150E+03
1.798950E-03	1.234510E+03	2.668750E+03	9.038220E+03
2.722980E-03	1.901510E+03	2.724050E+03	8.932230E+03
4.051970E-03	2.878550E+03	2.779350E+03	8.831740E+03
5.933820E-03	4.287130E+03	2.834650E+03	8.736340E+03
8.559840E-03	6.287650E+03	2.889950E+03	8.645650E+03
1.217440E-02	9.089170E+03	2.945250E+03	8.559320E+03
1.708590E-02	1.296070E+04	3.000550E+03	8.477040E+03
2.367980E-02	1.824470E+04	3.055850E+03	8.398510E+03
3.243260E-02	2.537200E+04	3.111150E+03	8.323490E+03
4.392820E-02	3.487960E+04	3.166450E+03	8.251700E+03
5.887640E-02	4.743090E+04	3.221750E+03	8.182930E+03
7.813360E-02	6.383750E+04	3.277040E+03	8.116970E+03
1.196740E-01	1.000000E+05	3.359470E+03	8.024340E+03
1.338760E-01	1.123630E+05	3.387640E+03	7.992670E+03
2.219000E-01	1.909670E+05	3.498240E+03	7.877350E+03
3.571560E-01	3.145190E+05	3.608840E+03	7.769750E+03
5.601720E-01	5.036050E+05	3.719440E+03	7.668700E+03
8.589400E-01	7.862560E+05	3.830040E+03	7.573150E+03
1.237310E+00	1.174600E+06	3.940640E+03	7.497500E+03
1.800460E+00	1.743370E+06	4.051240E+03	7.415520E+03
2.571190E+00	2.535970E+06	4.161830E+03	7.337820E+03
3.609310E+00	3.621310E+06	4.272430E+03	7.263900E+03
4.987120E+00	5.083790E+06	4.383030E+03	7.193330E+03
6.790900E+00	7.025320E+06	4.493630E+03	7.125730E+03
9.122040E+00	9.567340E+06	4.604230E+03	7.060760E+03
1.209790E+01	1.285260E+07	4.714830E+03	6.998150E+03
1.585180E+01	1.704680E+07	4.825430E+03	6.937670E+03
2.053240E+01	2.233920E+07	4.936020E+03	6.879110E+03
2.630160E+01	2.894320E+07	5.046620E+03	6.822330E+03
3.333130E+01	3.709560E+07	5.157220E+03	6.767200E+03
4.179870E+01	4.705460E+07	5.267820E+03	6.713610E+03
5.188070E+01	5.909720E+07	5.378420E+03	6.661490E+03
6.374710E+01	7.351460E+07	5.489020E+03	6.610790E+03
7.755420E+01	9.060780E+07	5.599620E+03	6.561460E+03
9.343830E+01	1.106810E+08	5.710210E+03	6.513470E+03
9.831545E+01	1.169502E+08	5.741819E+03	6.500000E+03
1.000000E+02	1.200918E+08	5.779481E+03	6.500000E+03
1.031605E+02	1.257182E+08	5.829631E+03	6.500000E+03
1.064209E+02	1.316081E+08	5.880216E+03	6.500000E+03
1.097844E+02	1.377740E+08	5.931241E+03	6.500000E+03
1.132541E+02	1.442288E+08	5.982708E+03	6.500000E+03
1.168335E+02	1.509860E+08	6.034622E+03	6.500000E+03
1.205261E+02	1.580597E+08	6.086986E+03	6.500000E+03
1.243353E+02	1.654649E+08	6.139804E+03	6.500000E+03
1.282650E+02	1.732170E+08	6.193081E+03	6.500000E+03
1.323188E+02	1.813323E+08	6.246820E+03	6.500000E+03
1.365008E+02	1.898278E+08	6.301026E+03	6.500000E+03
1.408149E+02	1.987213E+08	6.355701E+03	6.500000E+03
1.452654E+02	2.080314E+08	6.410852E+03	6.500000E+03
1.498565E+02	2.177778E+08	6.466480E+03	6.500000E+03
1.545928E+02	2.279808E+08	6.522592E+03	6.500000E+03
1.594787E+02	2.388917E+08	6.581589E+03	6.500000E+03
